word,count
the,125971793511
of,77466218166
and,55607010885
to,46622823631
in,40069476427
is,19364876716
that,18667136173
for,18525071087
as,12871208057
by,12332619973
be,12294483149
it,11994960844
with,11876159369
on,11798904606
was,11265433494
or,10460165418
not,10388733666
this,9343733263
are,9012560640
from,8398028679
at,8347148643
he,7414984637
which,6837362033
an,6616825208
have,6472055759
his,6321370580
but,5274289184
you,5136403520
we,4806946069
all,4721453560
were,4711163000
they,4674959004
one,4615625075
had,4467177865
has,4295647094
will,4131695626
their,4058311467
been,3833419756
other,3621031643
if,3558853549
can,3504680360
may,3494071401
there,3441017212
would,3426403207
no,3299635540
more,3266223769
new,3191765291
such,3173369270
its,3160953963
when,3127527437
any,2977738774
these,2957571963
who,2920499269
so,2915805543
her,2876060797
time,2844214982
than,2821118720
do,2573486964
she,2473849613
some,2431463367
what,2387322337
about,2356310055
state,2349552959
only,2346575330
two,2320487269
into,2295957672
also,2277394724
out,2247860777
them,2239759421
our,2184379901
said,2144475432
under,2138741097
first,2110041394
my,2087148273
him,2055993437
up,2027284788
see,1998720597
made,1997447686
should,1952830829
after,1839664795
shall,1783938547
your,1726233522
most,1713230188
could,1709690152
then,1697158548
over,1673016988
each,1656109353
year,1638310751
work,1635348458
states,1615967473
where,1601555361
use,1586311480
years,1570846149
me,1567968527
between,1545114434
those,1532715465
same,1530696473
now,1520107899
many,1519087731
through,1517841354
upon,1507776234
must,1498563482
well,1488307236
very,1487556144
general,1455321937
did,1436730930
before,1408402264
used,1386658160
because,1364238991
being,1358089126
part,1348835665
like,1332494943
united,1283489987
people,1283424622
during,1280484066
public,1268921543
section,1267046389
how,1259070789
number,1217599037
act,1211917809
even,1201751860
make,1197593588
court,1196078602
case,1191793129
system,1191428925
much,1178644146
three,1176708157
both,1176464249
per,1172476144
water,1172011748
law,1168582834
life,1133921857
day,1118738801
company,1108640132
service,1104223077
good,1104179045
way,1082229917
without,1078880123
order,1059882622
great,1056979860
while,1054979462
man,1054029602
however,1045304204
york,1042464152
long,1036629663
high,1036090257
us,1020680325
national,1012891379
right,1000824927
does,995090348
city,992681575
government,990633566
information,980883640
just,977237042
within,974043917
school,967229449
against,951098584
found,943928977
power,935955799
here,935344886
world,931974402
own,925563742
another,877450963
data,875584327
committee,874848419
business,874439305
given,873174963
know,870063044
program,862541146
little,860055191
since,859444800
present,856218485
every,854526318
house,852240111
men,849732779
report,849705316
university,847846220
following,846039978
less,839512385
back,838645651
place,838315973
total,837669960
large,834237606
take,833561668
department,832796718
down,824094952
small,823783977
county,820848977
second,808040369
development,788006801
control,782729807
might,773795122
research,770881416
office,766145425
last,765540218
point,763960968
form,757629993
board,753154728
old,748408191
still,743227151
children,740157343
president,739837826
interest,734806241
get,732388130
federal,719602688
different,717420570
set,717107969
end,712165433
study,710104260
area,708572462
action,708301845
too,707621654
value,707507792
fact,700613468
line,699787834
think,699265181
education,690732196
health,688383208
until,686661692
percent,682470383
group,682250352
amount,682219837
war,681524910
services,678031408
go,669609331
period,663636951
important,659588940
never,658856859
few,656748452
means,655476738
come,655146411
several,653167154
four,652466357
cases,652245770
having,651840564
say,648867530
thus,648028353
among,647271805
social,645528333
above,645477604
table,645343539
country,645261558
whether,643921049
need,642521086
john,640293498
property,638272943
home,637137494
off,636972145
certain,635593443
cost,633688655
question,628443202
effect,628087926
rate,626130526
called,625639543
days,625254409
land,625012616
required,622566958
members,617630582
give,616828788
person,612066093
subject,608463471
special,606574960
am,605975354
necessary,604564556
course,602913044
process,601741250
air,599428359
available,596677049
possible,593826683
e,592766070
local,590553341
again,590320793
bill,586413832
commission,584766872
hand,583606886
change,581187275
provided,578594019
family,577938973
taken,577852583
held,576130777
name,571913757
based,570596032
left,568361074
further,567068810
best,566975663
five,565268239
including,564783942
far,562965746
history,561130405
others,558558667
example,556891237
find,556837729
often,553562469
support,550604221
conditions,550034857
women,549556066
type,549404090
evidence,548945213
although,547139849
god,545002173
figure,544443994
district,539812257
results,539221709
tax,538763782
provide,536758495
either,534545088
full,533725381
yet,532680746
though,531547343
free,526301362
times,526143172
field,525978312
side,525118923
level,523973477
white,522733535
common,522252538
human,518438707
due,516458183
therefore,516214476
production,516016966
making,515654321
known,515410566
south,513954245
light,512931697
using,512625658
early,512170158
association,511769214
care,511385615
de,511059738
increase,510869913
book,510710164
result,508426226
matter,507557838
least,507282037
came,506201356
north,505494290
better,504963639
chapter,504738079
always,504293248
secretary,500038426
whole,498670907
next,498413319
rather,497335761
class,496817088
later,495525087
policy,495151177
labor,494607427
low,492636467
international,491159074
management,489827299
money,487866180
foreign,487043489
thought,486851970
body,486146701
put,486047902
individual,485908831
various,485579036
age,484768246
